Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - sgx.debug = true                           (this is a debug enclave)
  - loader.log_level = warning|debug|trace|all (verbose log level, may leak information)
  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - loader.insecure__use_host_env = true       (forwarding environment vars from untrusted host to the app)
  - sys.insecure__allow_eventfd = true         (host-based eventfd is enabled)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Server listening on  8443
Node-Red started
Inject: 3.498ms
Split: 4.666ms
Join: 0.436ms
Join: 0.068ms
Join: 0.049ms
Join: 0.05ms
Join: 0.067ms
Join: 0.048ms
Join: 0.031ms
Join: 0.073ms
Join: 0.034ms
Join: 0.8ms
Debug: 3.67ms
Inject: 0.19ms
Split: 0.355ms
Inject: 0.104ms
Split: 0.305ms
Join: 0.062ms
Join: 0.032ms
Join: 0.031ms
Join: 0.028ms
Join: 0.028ms
Join: 0.214ms
Join: 0.03ms
Join: 0.03ms
Join: 0.026ms
Join: 0.259ms
Switch: 0.77ms
Switch: 0.024ms
Switch: 0.023ms
Switch: 0.023ms
Switch: 0.023ms
Switch: 2.932ms
Debug: 0.612ms
Change: 1.3ms
Change: 0.078ms
Change: 0.077ms
Change: 0.075ms
Change: 0.073ms
Change: 0.072ms
Join: 0.052ms
Join: 0.027ms
Join: 0.027ms
Join: 0.026ms
Join: 0.026ms
Join: 0.176ms
Debug: 0.293ms
Inject: 0.181ms
Split: 0.33ms
Join: 0.062ms
Join: 0.027ms
Join: 0.027ms
Join: 0.075ms
Join: 0.024ms
Join: 0.023ms
Join: 0.022ms
Join: 0.022ms
Join: 0.027ms
Join: 0.242ms
Debug: 0.338ms
Inject: 0.153ms
Inject: 0.128ms
Split: 0.287ms
Split: 0.299ms
Switch: 0.294ms
Switch: 0.027ms
Switch: 0.023ms
Switch: 0.025ms
Switch: 0.034ms
Switch: 0.887ms
Join: 0.063ms
Join: 0.025ms
Join: 0.024ms
Join: 0.024ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.024ms
Join: 0.252ms
Change: 0.086ms
Change: 0.078ms
Change: 0.079ms
Change: 0.077ms
Change: 0.074ms
Change: 0.091ms
Debug: 0.629ms
Join: 0.043ms
Join: 0.024ms
Join: 0.024ms
Join: 0.023ms
Join: 0.023ms
Join: 0.177ms
Debug: 0.174ms
Inject: 0.155ms
Split: 0.368ms
Join: 0.045ms
Join: 0.023ms
Join: 0.023ms
Join: 0.022ms
Join: 0.023ms
Join: 0.035ms
Join: 0.052ms
Join: 0.046ms
Join: 0.066ms
Join: 0.271ms
Debug: 0.593ms
Inject: 0.153ms
Inject: 0.491ms
Split: 0.322ms
Split: 0.256ms
Switch: 0.046ms
Switch: 0.022ms
Switch: 0.022ms
Switch: 0.025ms
Switch: 0.029ms
Switch: 0.774ms
Change: 0.084ms
Change: 0.083ms
Change: 0.076ms
Change: 0.078ms
Change: 0.076ms
Change: 0.077ms
Join: 0.047ms
Join: 0.024ms
Join: 0.022ms
Join: 0.023ms
Join: 0.067ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.247ms
Debug: 0.629ms
Join: 0.043ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.022ms
Join: 0.179ms
Debug: 0.345ms
Inject: 0.154ms
Split: 0.385ms
Join: 0.045ms
Join: 0.023ms
Join: 0.022ms
Join: 0.022ms
Join: 0.023ms
Join: 0.023ms
Join: 0.022ms
Join: 0.022ms
Join: 0.051ms
Join: 0.313ms
Debug: 0.242ms
Inject: 0.447ms
Split: 0.336ms
Inject: 0.093ms
Switch: 0.064ms
Switch: 0.023ms
Switch: 0.021ms
Switch: 0.021ms
Switch: 0.021ms
Switch: 0.306ms
Split: 0.251ms
Change: 0.08ms
Change: 0.073ms
Change: 0.071ms
Change: 0.073ms
Change: 0.071ms
Change: 0.069ms
Join: 0.087ms
Join: 0.025ms
Join: 0.022ms
Join: 0.026ms
Join: 0.023ms
Join: 0.022ms
Join: 0.022ms
Join: 0.022ms
Join: 0.022ms
Join: 0.251ms
Join: 0.065ms
Join: 0.023ms
Join: 0.047ms
Join: 0.023ms
Join: 0.022ms
Join: 0.328ms
Debug: 0.255ms
Debug: 0.399ms
Inject: 0.168ms
Split: 0.351ms
Join: 0.192ms
Join: 0.024ms
Join: 0.023ms
Join: 0.022ms
Join: 0.022ms
Join: 0.022ms
Join: 0.022ms
Join: 0.023ms
Join: 0.023ms
Join: 0.258ms
Debug: 0.23ms
Inject: 0.152ms
Split: 0.345ms
Switch: 0.042ms
Switch: 0.033ms
Switch: 0.022ms
Switch: 0.021ms
Switch: 0.05ms
Switch: 0.298ms
Inject: 0.075ms
Change: 0.087ms
Change: 0.079ms
Change: 0.079ms
Change: 0.072ms
Change: 0.074ms
Change: 0.076ms
Split: 0.26ms
Join: 0.045ms
Join: 0.024ms
Join: 0.024ms
Join: 0.023ms
Join: 0.022ms
Join: 0.183ms
Join: 0.038ms
Join: 0.023ms
Join: 0.022ms
Join: 0.026ms
Join: 0.022ms
Join: 0.022ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.246ms
Debug: 0.187ms
Debug: 0.396ms
Inject: 0.168ms
Split: 0.48ms
Join: 0.045ms
Join: 0.024ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.022ms
Join: 0.023ms
Join: 0.023ms
Join: 0.379ms
Debug: 0.23ms
Inject: 0.152ms
Split: 0.386ms
Switch: 0.036ms
Switch: 0.021ms
Switch: 0.029ms
Switch: 0.021ms
Switch: 0.021ms
Switch: 0.331ms
Change: 0.087ms
Change: 0.074ms
Change: 0.073ms
Change: 0.124ms
Change: 0.079ms
Change: 0.073ms
Inject: 0.077ms
Split: 0.255ms
Join: 0.044ms
Join: 0.023ms
Join: 0.023ms
Join: 0.023ms
Join: 0.024ms
Join: 0.172ms
Debug: 0.175ms
Join: 0.038ms
Join: 0.023ms
Join: 0.027ms
Join: 0.022ms
Join: 0.023ms
Join: 0.024ms
Join: 0.022ms
Join: 0.022ms
Join: 0.023ms
Join: 0.25ms
Debug: 0.129ms
Inject: 0.163ms
Split: 0.338ms
Join: 0.046ms
Join: 0.026ms
Join: 0.024ms
Join: 0.038ms
Join: 0.038ms
Join: 0.022ms
Join: 0.023ms
Join: 0.027ms
Join: 0.036ms
Join: 0.405ms
Debug: 0.203ms
