Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - sgx.debug = true                           (this is a debug enclave)
  - loader.log_level = warning|debug|trace|all (verbose log level, may leak information)
  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - loader.insecure__use_host_env = true       (forwarding environment vars from untrusted host to the app)
  - sys.insecure__allow_eventfd = true         (host-based eventfd is enabled)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Server listening on  8443
Node-Red started
Inject: 3.989ms
Template: 0.234ms
Split: 3.891ms
Join: 1.185ms
Join: 0.035ms
Join: 0.059ms
Join: 0.485ms
Debug: 0.349ms
Inject: 0.195ms
Template: 0.415ms
Split: 0.358ms
Join: 0.076ms
Join: 0.031ms
Join: 0.03ms
Join: 0.184ms
Debug: 0.082ms
Inject: 0.202ms
Inject: 0.303ms
Template: 0.104ms
Template: 0.467ms
CSV: 1.017ms
Split: 0.309ms
Join: 0.091ms
Join: 0.035ms
Join: 0.031ms
Join: 0.362ms
Join: 0.104ms
Join: 0.027ms
Join: 0.027ms
Join: 0.169ms
Debug: 0.833ms
Debug: 0.063ms
Inject: 0.422ms
Template: 0.133ms
Split: 0.312ms
Join: 0.093ms
Join: 0.028ms
Join: 0.028ms
Join: 0.18ms
Debug: 0.102ms
Inject: 0.196ms
Template: 0.1ms
Split: 0.283ms
Join: 0.072ms
Join: 0.028ms
Join: 0.027ms
Join: 0.149ms
Debug: 0.076ms
Inject: 0.182ms
Inject: 0.169ms
Template: 0.084ms
Template: 0.091ms
CSV: 0.371ms
CSV: 0.299ms
Switch: 0.766ms
Switch: 0.025ms
Switch: 0.024ms
Switch: 2.808ms
Join: 0.089ms
Join: 0.03ms
Join: 0.027ms
Join: 0.203ms
Inject: 0.137ms
Join: 0.109ms
Join: 0.131ms
Debug: 0.188ms
Template: 0.071ms
Debug: 0.089ms
Split: 0.235ms
Join: 0.067ms
Join: 0.024ms
Join: 0.023ms
Join: 0.397ms
Debug: 0.062ms
Inject: 0.17ms
Template: 0.109ms
Split: 0.261ms
Join: 0.062ms
Join: 0.023ms
Join: 0.022ms
Join: 0.142ms
Debug: 0.087ms
Inject: 0.152ms
Template: 0.121ms
Split: 0.277ms
Join: 0.05ms
Join: 0.022ms
Join: 0.05ms
Join: 0.161ms
Debug: 0.103ms
Inject: 0.448ms
Template: 0.073ms
CSV: 0.347ms
Join: 0.067ms
Join: 0.025ms
Join: 0.023ms
Join: 0.155ms
Debug: 0.24ms
Inject: 0.098ms
Template: 0.069ms
Split: 0.223ms
Join: 0.04ms
Join: 0.023ms
Join: 0.023ms
Join: 0.133ms
Debug: 0.053ms
Inject: 0.155ms
Template: 0.096ms
Split: 0.408ms
Join: 0.051ms
Join: 0.023ms
Join: 0.022ms
Join: 0.175ms
Debug: 0.086ms
Inject: 0.155ms
Template: 0.147ms
Split: 0.285ms
Join: 0.079ms
Join: 0.024ms
Join: 0.041ms
Join: 0.205ms
Debug: 0.089ms
Inject: 0.165ms
Inject: 0.092ms
Template: 0.083ms
Template: 0.071ms
CSV: 0.365ms
CSV: 0.218ms
Switch: 0.042ms
Switch: 0.03ms
Switch: 0.032ms
Switch: 0.229ms
Join: 0.051ms
Join: 0.024ms
Join: 0.023ms
Join: 0.155ms
Join: 0.042ms
Join: 0.107ms
Debug: 0.095ms
Debug: 0.069ms
Inject: 0.105ms
Template: 0.075ms
Split: 0.237ms
Join: 0.043ms
Join: 0.024ms
Join: 0.023ms
Join: 0.144ms
Debug: 0.056ms
Inject: 0.163ms
Template: 0.121ms
Split: 0.267ms
Join: 0.05ms
Join: 0.023ms
Join: 0.023ms
Join: 0.18ms
Debug: 0.076ms
Inject: 0.166ms
Template: 0.145ms
Split: 0.304ms
Join: 0.087ms
Join: 0.023ms
Join: 0.039ms
Join: 0.176ms
Debug: 0.097ms
Inject: 0.166ms
Template: 0.099ms
CSV: 0.3ms
Join: 0.065ms
Join: 0.024ms
Join: 0.038ms
Join: 0.327ms
Debug: 0.12ms
Inject: 0.175ms
Template: 0.109ms
Split: 0.3ms
Join: 0.052ms
Join: 0.024ms
Join: 0.023ms
Join: 0.222ms
Debug: 0.063ms
Inject: 0.159ms
Template: 0.08ms
Split: 0.27ms
Join: 0.051ms
Join: 0.025ms
Join: 0.023ms
Join: 0.142ms
Debug: 0.063ms
Inject: 0.158ms
Template: 0.129ms
Split: 0.29ms
Join: 0.075ms
Join: 0.023ms
Join: 0.042ms
Join: 0.168ms
Debug: 0.075ms
Inject: 0.157ms
Inject: 0.288ms
Template: 0.143ms
Template: 0.066ms
CSV: 0.29ms
CSV: 0.223ms
Switch: 0.058ms
Switch: 0.024ms
Switch: 0.025ms
Switch: 0.55ms
Join: 0.048ms
Join: 0.024ms
Join: 0.022ms
Join: 0.16ms
Join: 0.041ms
Join: 0.12ms
Debug: 0.094ms
Debug: 0.071ms
Inject: 0.165ms
Template: 0.138ms
Split: 0.279ms
Join: 0.054ms
Join: 1.203ms
Join: 0.024ms
Join: 0.175ms
Debug: 0.072ms
Inject: 0.195ms
Template: 0.078ms
Split: 0.259ms
Join: 0.049ms
Join: 0.028ms
Join: 0.022ms
Join: 0.133ms
Debug: 0.061ms
Inject: 0.228ms
Template: 0.086ms
Split: 0.282ms
Join: 0.069ms
Join: 0.023ms
Join: 0.138ms
Join: 0.195ms
Debug: 0.377ms
