Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - sgx.debug = true                           (this is a debug enclave)
  - loader.log_level = warning|debug|trace|all (verbose log level, may leak information)
  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - loader.insecure__use_host_env = true       (forwarding environment vars from untrusted host to the app)
  - sys.insecure__allow_eventfd = true         (host-based eventfd is enabled)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Server listening on  8443
Node-Red started
Inject: 3.614ms
Template: 2.678ms
Sort: 1.02ms
Debug: 1.126ms
Inject: 0.674ms
Template: 0.046ms
Sort: 0.043ms
Debug: 0.209ms
Inject: 0.217ms
Template: 0.06ms
Sort: 0.04ms
Debug: 0.478ms
Inject: 0.22ms
Template: 0.048ms
Sort: 0.04ms
Debug: 0.11ms
Inject: 0.192ms
Template: 0.057ms
Sort: 0.259ms
Debug: 0.117ms
Inject: 0.209ms
Template: 0.052ms
Sort: 0.039ms
Debug: 0.114ms
Inject: 0.217ms
Template: 0.067ms
Sort: 0.043ms
Debug: 0.114ms
Inject: 0.195ms
Template: 0.055ms
Sort: 0.039ms
Debug: 0.118ms
Inject: 0.195ms
Template: 0.061ms
Sort: 0.041ms
Debug: 0.108ms
Inject: 0.182ms
Template: 0.059ms
Sort: 0.041ms
Debug: 0.208ms
Inject: 0.203ms
Template: 0.048ms
Sort: 0.043ms
Debug: 0.111ms
Inject: 0.43ms
Template: 0.054ms
Sort: 0.062ms
Debug: 0.125ms
Inject: 0.228ms
Template: 0.052ms
Sort: 0.033ms
Debug: 0.091ms
Inject: 0.172ms
Template: 0.042ms
Sort: 0.052ms
Debug: 0.098ms
Inject: 0.161ms
Template: 0.048ms
Sort: 0.042ms
Debug: 0.119ms
Inject: 0.158ms
Template: 0.048ms
Sort: 0.042ms
Debug: 0.092ms
Inject: 0.16ms
Template: 0.056ms
Sort: 0.031ms
Debug: 0.093ms
Inject: 0.167ms
Template: 0.051ms
Sort: 0.034ms
Debug: 0.119ms
Inject: 0.157ms
Template: 0.046ms
Sort: 0.033ms
Debug: 0.095ms
Inject: 0.156ms
Template: 0.051ms
Sort: 0.037ms
Debug: 0.098ms
