Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - sgx.debug = true                           (this is a debug enclave)
  - loader.log_level = warning|debug|trace|all (verbose log level, may leak information)
  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - loader.insecure__use_host_env = true       (forwarding environment vars from untrusted host to the app)
  - sys.insecure__allow_eventfd = true         (host-based eventfd is enabled)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Server listening on  8443
Node-Red started
Inject: 3.59ms
Inject: 0.157ms
Template: 0.33ms
Template: 0.135ms
Inject: 0.153ms
Inject: 0.148ms
Split: 3.617ms
Split: 0.983ms
Template: 0.545ms
Template: 0.116ms
Debug: 0.663ms
Debug: 0.075ms
Debug: 0.065ms
Debug: 0.064ms
Debug: 0.063ms
Debug: 0.067ms
Debug: 0.078ms
Debug: 0.065ms
Split: 0.543ms
Split: 0.235ms
Debug: 0.066ms
Debug: 0.065ms
Debug: 0.067ms
Debug: 0.803ms
Debug: 0.161ms
Debug: 0.081ms
Inject: 0.559ms
Template: 0.098ms
Split: 0.25ms
Debug: 0.081ms
Debug: 0.055ms
Debug: 0.054ms
Inject: 0.305ms
Template: 0.094ms
Split: 0.325ms
Debug: 0.081ms
Debug: 0.051ms
Debug: 0.05ms
Debug: 0.05ms
Debug: 0.049ms
Inject: 0.103ms
Inject: 0.087ms
Template: 0.079ms
Template: 0.074ms
Split: 0.186ms
Split: 0.169ms
Debug: 0.051ms
Debug: 0.049ms
Debug: 0.049ms
Debug: 0.089ms
Debug: 0.076ms
Debug: 0.221ms
Inject: 0.152ms
Template: 0.074ms
Split: 0.229ms
Debug: 0.062ms
Debug: 0.052ms
Debug: 0.052ms
Inject: 0.098ms
Template: 0.076ms
Split: 0.293ms
Debug: 0.057ms
Debug: 0.052ms
Debug: 0.05ms
Debug: 0.053ms
Debug: 0.058ms
Inject: 0.093ms
Inject: 0.267ms
Template: 0.079ms
Template: 0.074ms
Split: 0.176ms
Split: 0.169ms
Debug: 0.05ms
Debug: 0.054ms
Debug: 0.048ms
Debug: 0.099ms
Debug: 0.066ms
Debug: 0.065ms
Inject: 0.218ms
Template: 0.081ms
Split: 0.212ms
Debug: 0.059ms
Debug: 0.053ms
Debug: 0.049ms
Inject: 0.087ms
Template: 0.069ms
Split: 0.263ms
Debug: 0.049ms
Debug: 0.049ms
Debug: 0.049ms
Debug: 0.048ms
Debug: 0.051ms
Inject: 0.092ms
Inject: 0.09ms
Template: 0.112ms
Template: 0.089ms
Split: 0.207ms
Split: 0.201ms
Debug: 0.077ms
Debug: 0.068ms
Debug: 0.049ms
Debug: 0.09ms
Debug: 0.062ms
Debug: 0.061ms
Inject: 0.157ms
Template: 0.11ms
Inject: 0.127ms
Split: 0.286ms
Template: 0.073ms
Debug: 0.526ms
Debug: 0.065ms
Debug: 0.045ms
Split: 0.281ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.044ms
Inject: 0.087ms
Inject: 0.085ms
Template: 0.082ms
Template: 0.079ms
Split: 0.187ms
Split: 0.176ms
Debug: 0.05ms
Debug: 0.045ms
Debug: 0.054ms
Debug: 0.092ms
Debug: 0.066ms
Debug: 0.059ms
Inject: 0.201ms
Inject: 0.123ms
Template: 0.082ms
Template: 0.065ms
Split: 0.245ms
Split: 0.269ms
Inject: 0.091ms
Inject: 0.085ms
Debug: 0.055ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.045ms
Template: 0.077ms
Template: 0.072ms
Split: 0.183ms
Split: 0.179ms
Debug: 0.046ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.077ms
Debug: 0.062ms
Debug: 0.058ms
Inject: 0.16ms
Inject: 0.106ms
Template: 0.079ms
Template: 0.065ms
Inject: 0.085ms
Inject: 0.091ms
Split: 0.238ms
Split: 0.263ms
Template: 0.076ms
Template: 0.071ms
Debug: 0.053ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.046ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Split: 0.176ms
Split: 0.173ms
Debug: 0.045ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.076ms
Debug: 0.057ms
Debug: 0.057ms
Inject: 0.157ms
Inject: 0.11ms
Inject: 0.123ms
Inject: 0.099ms
Template: 0.095ms
Template: 0.065ms
Template: 0.075ms
Template: 0.07ms
Split: 0.249ms
Split: 0.304ms
Split: 0.219ms
Split: 0.185ms
Debug: 0.054ms
Debug: 0.049ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.049ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.045ms
Debug: 0.044ms
Debug: 0.08ms
Debug: 0.058ms
Debug: 0.056ms
Inject: 0.169ms
Inject: 0.126ms
Inject: 0.104ms
Inject: 0.085ms
Template: 0.067ms
Template: 0.065ms
Template: 0.075ms
Template: 0.071ms
Split: 0.213ms
Split: 0.265ms
Split: 0.176ms
Split: 0.175ms
Debug: 0.054ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.045ms
Debug: 0.045ms
Debug: 0.044ms
Debug: 0.077ms
Debug: 0.057ms
Debug: 0.056ms
Inject: 0.167ms
Inject: 0.103ms
Inject: 0.106ms
Inject: 0.082ms
Template: 0.066ms
Template: 0.063ms
Template: 0.073ms
Template: 0.069ms
Split: 0.267ms
Split: 0.636ms
Split: 0.209ms
Split: 0.201ms
Debug: 0.051ms
Debug: 0.046ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.042ms
Debug: 0.042ms
Debug: 0.042ms
Debug: 0.043ms
Debug: 0.042ms
Debug: 0.055ms
Debug: 0.075ms
Debug: 0.078ms
Debug: 0.1ms
Inject: 0.171ms
Inject: 0.284ms
Inject: 0.159ms
Inject: 0.082ms
Template: 0.092ms
Template: 0.063ms
Template: 0.134ms
Template: 0.071ms
Split: 0.258ms
Split: 0.28ms
Split: 0.216ms
Split: 0.177ms
Debug: 0.052ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.045ms
Debug: 0.044ms
Debug: 0.046ms
Debug: 0.044ms
Debug: 0.075ms
Debug: 0.057ms
Debug: 0.056ms
Inject: 0.154ms
Inject: 0.086ms
Inject: 0.083ms
Template: 0.065ms
Template: 0.063ms
Template: 0.08ms
Inject: 0.089ms
Split: 0.386ms
Split: 0.33ms
Split: 0.299ms
Template: 0.1ms
Debug: 0.052ms
Debug: 0.045ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.046ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.049ms
Debug: 0.044ms
Debug: 0.045ms
Split: 0.162ms
Debug: 0.074ms
Debug: 0.071ms
Debug: 0.086ms
Inject: 0.158ms
Inject: 0.28ms
Inject: 0.091ms
Inject: 0.084ms
Template: 0.065ms
Template: 0.064ms
Template: 0.076ms
Template: 0.074ms
Split: 0.195ms
Split: 0.241ms
Split: 1.255ms
Split: 0.243ms
Debug: 0.051ms
Debug: 0.068ms
Debug: 0.089ms
Debug: 0.044ms
Debug: 0.049ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.054ms
Debug: 0.218ms
Debug: 0.076ms
Debug: 0.05ms
Debug: 0.139ms
Debug: 0.11ms
Debug: 0.085ms
Inject: 0.197ms
Inject: 0.141ms
Inject: 0.113ms
Inject: 0.102ms
Template: 0.069ms
Template: 0.063ms
Template: 0.072ms
Template: 0.082ms
Split: 0.212ms
Split: 0.253ms
Split: 0.175ms
Split: 0.15ms
Debug: 0.051ms
Debug: 0.048ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.074ms
Debug: 0.056ms
Debug: 0.055ms
Inject: 0.143ms
Inject: 0.101ms
Inject: 0.095ms
Inject: 0.084ms
Template: 0.065ms
Template: 0.063ms
Template: 0.078ms
Template: 0.069ms
Split: 0.189ms
Split: 0.238ms
Split: 0.153ms
Split: 0.155ms
Debug: 0.052ms
Debug: 0.044ms
Debug: 0.046ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.073ms
Debug: 0.05ms
Debug: 0.098ms
Debug: 0.057ms
Debug: 0.055ms
Inject: 0.252ms
Inject: 0.118ms
Inject: 0.084ms
Inject: 0.082ms
Template: 0.065ms
Template: 0.063ms
Template: 0.075ms
Template: 0.068ms
Split: 0.222ms
Split: 0.229ms
Split: 0.157ms
Split: 0.151ms
Debug: 0.051ms
Debug: 0.045ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.05ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.074ms
Debug: 0.058ms
Debug: 0.056ms
Inject: 0.144ms
Inject: 0.149ms
Inject: 0.111ms
Inject: 0.107ms
Template: 0.067ms
Template: 0.062ms
Template: 0.074ms
Template: 0.068ms
Split: 0.234ms
Split: 0.295ms
Split: 0.176ms
Split: 0.153ms
Debug: 0.05ms
Debug: 0.046ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.043ms
Debug: 0.047ms
Debug: 0.043ms
Debug: 0.048ms
Debug: 0.043ms
Debug: 0.045ms
Debug: 0.073ms
Debug: 0.056ms
Debug: 0.055ms
Inject: 0.145ms
Inject: 0.109ms
Inject: 0.106ms
Template: 0.07ms
Template: 0.064ms
Template: 0.099ms
Inject: 0.117ms
Split: 0.193ms
Split: 0.228ms
Split: 0.155ms
Template: 0.071ms
Debug: 0.053ms
Debug: 0.044ms
Debug: 0.044ms
Debug: 0.058ms
Debug: 0.045ms
Debug: 0.044ms
Debug: 0.043ms
Debug: 0.044ms
Debug: 0.045ms
Debug: 0.043ms
Debug: 0.044ms
Split: 0.29ms
Debug: 0.101ms
Debug: 0.056ms
Debug: 0.055ms
Inject: 0.141ms
Inject: 0.094ms
Inject: 0.127ms
Template: 0.06ms
Template: 0.058ms
Template: 0.11ms
Inject: 0.107ms
Split: 0.216ms
Split: 0.251ms
Split: 0.235ms
Template: 0.15ms
Debug: 0.052ms
Debug: 0.042ms
Debug: 0.042ms
Debug: 0.042ms
Debug: 0.046ms
Debug: 0.048ms
Debug: 0.041ms
Debug: 0.041ms
Debug: 0.042ms
Debug: 0.061ms
Debug: 0.044ms
Split: 0.162ms
Debug: 0.071ms
Debug: 0.055ms
Debug: 0.055ms
Inject: 0.154ms
Inject: 0.108ms
Inject: 0.094ms
Template: 0.063ms
Template: 0.061ms
Template: 0.073ms
