Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - sgx.debug = true                           (this is a debug enclave)
  - loader.log_level = warning|debug|trace|all (verbose log level, may leak information)
  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - loader.insecure__use_host_env = true       (forwarding environment vars from untrusted host to the app)
  - sys.insecure__allow_eventfd = true         (host-based eventfd is enabled)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Server listening on  8443
Node-Red started
Inject: 3.615ms
Template: 2.926ms
CSV: 4.123ms
Join: 0.577ms
Join: 0.038ms
Join: 1.493ms
CSV: 1.382ms
Debug: 0.538ms
Inject: 0.212ms
Template: 0.062ms
CSV: 0.39ms
Join: 0.084ms
Join: 0.03ms
Join: 0.193ms
CSV: 0.16ms
Debug: 0.133ms
Inject: 0.221ms
Template: 0.048ms
CSV: 0.849ms
Join: 0.073ms
Join: 0.029ms
Join: 0.165ms
CSV: 0.152ms
Debug: 0.126ms
Inject: 0.201ms
Template: 0.046ms
CSV: 0.31ms
Join: 0.073ms
Join: 0.029ms
Join: 0.147ms
CSV: 0.114ms
Debug: 0.12ms
Inject: 0.181ms
Template: 0.059ms
CSV: 0.302ms
Join: 0.075ms
Join: 0.072ms
Join: 0.154ms
CSV: 0.125ms
Debug: 0.121ms
Inject: 0.22ms
Template: 0.093ms
CSV: 0.257ms
Join: 0.075ms
Join: 0.029ms
Join: 0.14ms
CSV: 0.115ms
Debug: 0.124ms
Inject: 0.155ms
Template: 0.049ms
CSV: 0.235ms
Join: 0.078ms
Join: 0.027ms
Join: 0.134ms
CSV: 0.107ms
Debug: 0.641ms
Inject: 0.154ms
Template: 0.055ms
CSV: 0.247ms
Join: 0.077ms
Join: 0.029ms
Join: 0.139ms
CSV: 0.11ms
Debug: 0.132ms
Inject: 0.153ms
Template: 0.048ms
CSV: 0.238ms
Join: 0.075ms
Join: 0.028ms
Join: 0.574ms
CSV: 0.106ms
Debug: 0.13ms
Inject: 0.174ms
Template: 0.054ms
CSV: 0.239ms
Join: 0.078ms
Join: 0.043ms
Join: 0.139ms
CSV: 0.105ms
Debug: 0.14ms
Inject: 0.158ms
Template: 0.044ms
CSV: 0.251ms
Join: 0.091ms
Join: 0.023ms
Join: 0.129ms
CSV: 0.11ms
Debug: 0.125ms
Inject: 0.176ms
Template: 0.058ms
CSV: 0.235ms
Join: 0.057ms
Join: 0.024ms
Join: 0.13ms
CSV: 0.104ms
Debug: 0.124ms
Inject: 0.177ms
Template: 0.05ms
CSV: 0.26ms
Join: 0.053ms
Join: 0.023ms
Join: 0.132ms
CSV: 0.104ms
Debug: 0.129ms
Inject: 0.157ms
Template: 0.09ms
CSV: 0.24ms
Join: 0.081ms
Join: 0.024ms
Join: 0.16ms
CSV: 0.136ms
Debug: 0.137ms
Inject: 0.156ms
Template: 0.048ms
CSV: 0.259ms
Join: 0.054ms
Join: 0.023ms
Join: 0.138ms
CSV: 0.105ms
Debug: 0.116ms
Inject: 0.173ms
Template: 0.05ms
CSV: 0.3ms
Join: 0.054ms
Join: 0.024ms
Join: 0.133ms
CSV: 0.112ms
Debug: 0.115ms
Inject: 0.162ms
Template: 0.055ms
CSV: 0.253ms
Join: 0.054ms
Join: 0.054ms
Join: 0.178ms
CSV: 0.117ms
Debug: 0.141ms
Inject: 0.157ms
Template: 0.051ms
CSV: 0.245ms
Join: 0.06ms
Join: 0.024ms
Join: 0.42ms
CSV: 0.106ms
Debug: 0.108ms
Inject: 0.153ms
Template: 0.049ms
CSV: 0.235ms
Join: 0.055ms
Join: 0.04ms
Join: 0.151ms
CSV: 0.688ms
Debug: 0.225ms
Inject: 0.164ms
Template: 0.05ms
CSV: 0.227ms
Join: 0.051ms
Join: 0.023ms
Join: 0.166ms
CSV: 0.129ms
Debug: 0.16ms
